Payment Amount,Budget Period,Agency,Payee
1064648.39,2020,Department of Human Services, THE GARDENS AT FOLEY LLC
102793.73,2020,Department of Human Services,1 GALAXY OF DIVINE CARING INC
186528.7,2020,Department of Human Services,1 NATION TRANSPORATION LLC
4443279.88,2020,Department of Human Services,1-0 GRANNYS HELPFUL HANDS LLC
286251.47,2020,Department of Human Services,1-DOMINION HOME HEALTH CARE INC
680500.62,2020,Department of Human Services,180 DEGREES INC
111697.32,2020,Department of Human Services,180 MEDICAL INC
6540.84,2020,Department of Human Services,1ST AMERICA INFUSION SERVICES LLC
889995.99,2020,Department of Human Services,1ST CHOICE CARE INC
4881323.86,2020,Department of Human Services,1ST CHOICE PCA SERVICES
221045.95,2020,Department of Human Services,1WISH HOME HEALTH CARE LLC
2098376.43,2020,Department of Human Services,2 CARING HANDS INC
127785.95,2020,Department of Human Services,218 HOUSING
503330.45,2020,Department of Human Services,24 HRS HOME CARE LLC
1115065.27,2020,Department of Human Services,24 SEVEN HOME CARE INC
236271.23,2020,Department of Human Services,2CARE4U LLC
12454.84,2020,Department of Human Services,"2CARE4U SOUTH, LLC"
48767.4,2020,Department of Human Services,3 PLUS HOME HEALTH CARE LLC
650,2020,Department of Human Services,3 SISTERS MARKET LLC
313513,2020,Department of Human Services,360 COMMUNITIES
1659.6,2020,Department of Human Services,360 HOME CARE INC
1334464.44,2020,Department of Human Services,3H CARE LLC
1326809.04,2020,Department of Human Services,4 U HOME HEALTH CARE
16647.02,2020,Department of Human Services,4U HOME HEALTH CARE SOUTH LLC
992920.4,2020,Department of Human Services,"512 49TH AVENUE NORTH, LLC"
1421690.26,2020,Department of Human Services,528 LIMITED PARTNERSHIP
107809.97,2020,Department of Human Services,6095 52 AUSTIN ALBERT LEA AREA
36339.63,2020,Department of Human Services,92ND LYNDALE PROPERTIES LLC
609.38,2020,Department of Human Services,99-HAMMER QUEENSLAND
822347.93,2020,Department of Human Services,A & E HOMES INC
22995.79,2020,Department of Human Services,A & L HEALTH SERVICES
32603.58,2020,Department of Human Services,A & S DRUGS LLC
110,2020,Department of Human Services,A 1 SERVICES INC
151628.47,2020,Department of Human Services,A BETTER CONNECTION INC
1102568.22,2020,Department of Human Services,A CARING COMPANY INC
7999.2,2020,Department of Human Services,A CARING HOME LLC
2573531.83,2020,Department of Human Services,A CHANCE TO GROW
132178.14,2020,Department of Human Services,A DAUGHTERS LOVE INC
1019676.13,2020,Department of Human Services,A HELPING HAND SENIOR CARE SERVICES LLC
11534.65,2020,Department of Human Services,A I DUPONT HOSPITAL FOR
1482820.32,2020,Department of Human Services,A NEW DIRECTION INC
70000,2020,Department of Human Services,A PLACE FOR YOU
2858340.72,2020,Department of Human Services,A PLUS HOME CARE INC
19970.63,2020,Department of Human Services,A STEP AHEAD HOME HEALTH CARE CORP
4204.17,2020,Department of Human Services,A TIME FOR HEALING
7294.15,2020,Department of Human Services,A TRAN LLC
1255915.6,2020,Department of Human Services,A&A RELIABLE HOME HEALTH CARE LLC
569989.83,2020,Department of Human Services,A-1 RELIABLE HOME CARE
25756.64,2020,Department of Human Services,A-1 RELIABLE HOME CARE INC
169.4,2020,Department of Human Services,A1 KEY CITY LOCKSMITHS
1326.75,2020,Department of Human Services,AA CARE INC
27162.8,2020,Department of Human Services,AA HOME HEALTH INC
78009.3,2020,Department of Human Services,AAA A-Z FRIENDLY LANGUAGES INC
1200647.43,2020,Department of Human Services,AAA BEST CARE INC
1628.38,2020,Department of Human Services,AAA LAWN SERVICE & SNOWPLOWING
1708846.6,2020,Department of Human Services,AAFIYA HOME CARE
177875.85,2020,Department of Human Services,AAH MERCY HOME HEALTH
35358.66,2020,Department of Human Services,AALFA FAMILY PRACTICE PA
1589.64,2020,Department of Human Services,AARAN ADULT DAYCARE INC
384473.85,2020,Department of Human Services,AARAN HEALTH SERVICE LLC
480,2020,Department of Human Services,AARDVARK SEPTIC PUMPING
840,2020,Department of Human Services,ABACUS DATA SYSTEMS INC
19163582.25,2020,Department of Human Services,ABBEYCARE CHOICE INC PCP
1477164.27,2020,Department of Human Services,ABBEYCARE INC
31417.46,2020,Department of Human Services,ABBOTT DIABETES CARE SALES CORP
19616773.8,2020,Department of Human Services,ABBOTT NORTHWEST HOSPITAL    G
195980.92,2020,Department of Human Services,ABBOTT NORTHWEST HOSPITAL    P
855,2020,Department of Human Services,ABBOTT NORTHWEST HOSPITAL    S
38669.72,2020,Department of Human Services,ABBOTT NORTHWESTERN GENERAL
65290.29,2020,Department of Human Services,ABBOTT NORTHWESTERN HOSPITAL
868.72,2020,Department of Human Services,ABBOTT NORTHWESTERN HOSPITAL PLASTIC SUR
2130.15,2020,Department of Human Services,ABBOTT NORTHWESTERN KIDNEY TRANSPLANT PR
2204.9,2020,Department of Human Services,ABBY SPECIAL CARE TRANSPORTATION LLC
290047.6,2020,Department of Human Services,ABBYS HOME CARE INC
54.48,2020,Department of Human Services,ABC DENTAL
16921.83,2020,Department of Human Services,ABC FAMILY COUNSELING INC
263679.79,2020,Department of Human Services,ABC HOME HEALTH CARE PLUS LLC
24474.91,2020,Department of Human Services,ABC HOME MEDICAL
165844.31,2020,Department of Human Services,ABC HOME PLUS CORP
691418.37,2020,Department of Human Services,ABC PCA SERVICES LLC
494.88,2020,Department of Human Services,ABC WATER CONDITIONING SERVICE
